date,ticker,pred_horizon_return,gross_return,net_return,success,hormuz_closure,red_sea_disruption,sanctions_escalation,oil_above_100,gold_above_3000,silver_above_40,taiwan_strait_crisis,russia_ukraine_ceasefire,us_recession,middle_east_war_escalation,regime,month
2024-03-13,SM,0.06919289522981623,0.10422898547465631,0.0962289854746563,1,0.5,0.5,0.5,0.5,0.5,0.5,0.11249169339444216,0.0007537980728772819,0.5,0.5,High Hormuz,3
2024-03-13,SBLK,0.06010866294484856,-0.030540643214963414,-0.038540643214963415,0,0.5,0.5,0.5,0.5,0.5,0.5,0.11249169339444216,0.0007537980728772819,0.5,0.5,High Hormuz,3
2024-03-13,AR,0.05723775599744002,0.1580967353670828,0.1500967353670828,1,0.5,0.5,0.5,0.5,0.5,0.5,0.11249169339444216,0.0007537980728772819,0.5,0.5,High Hormuz,3
2024-03-14,SM,0.06693712292337566,0.08722674042293121,0.07922674042293121,1,0.5,0.5,0.5,0.5,0.5,0.5,0.11249169339444216,0.0007537980728772819,0.5,0.5,High Hormuz,3
2024-03-14,STNG,0.06387601530852133,-0.01293463540249129,-0.02093463540249129,0,0.5,0.5,0.5,0.5,0.5,0.5,0.11249169339444216,0.0007537980728772819,0.5,0.5,High Hormuz,3
2024-03-14,FRO,0.05648148333483985,0.004589095265024934,-0.0034109047349750662,0,0.5,0.5,0.5,0.5,0.5,0.5,0.11249169339444216,0.0007537980728772819,0.5,0.5,High Hormuz,3
2024-03-15,SM,0.06297123971844558,0.07758061941420857,0.06958061941420857,1,0.5,0.5,0.5,0.5,0.5,0.5,0.11249169339444216,0.0007537980728772819,0.5,0.5,High Hormuz,3
2024-03-15,STNG,0.057655639659600806,-0.01107064053770157,-0.01907064053770157,0,0.5,0.5,0.5,0.5,0.5,0.5,0.11249169339444216,0.0007537980728772819,0.5,0.5,High Hormuz,3
2024-03-15,AR,0.05388404316029854,0.12359552886729053,0.11559552886729052,1,0.5,0.5,0.5,0.5,0.5,0.5,0.11249169339444216,0.0007537980728772819,0.5,0.5,High Hormuz,3
2024-03-18,SM,0.06494394741162436,0.07802785145953695,0.07002785145953694,1,0.5,0.5,0.5,0.5,0.5,0.5,0.10273004253107643,0.0007537980728772819,0.5,0.5,High Hormuz,3
2024-03-18,STNG,0.06067444788840913,-0.011012000823132584,-0.019012000823132584,0,0.5,0.5,0.5,0.5,0.5,0.5,0.10273004253107643,0.0007537980728772819,0.5,0.5,High Hormuz,3
2024-03-18,SBLK,0.05375575528817238,-0.04757962825404316,-0.05557962825404316,0,0.5,0.5,0.5,0.5,0.5,0.5,0.10273004253107643,0.0007537980728772819,0.5,0.5,High Hormuz,3
2024-03-19,SM,0.061120998086370476,0.031603226764517656,0.023603226764517656,1,0.5,0.5,0.5,0.5,0.5,0.5,0.10273004253107643,0.0007537980728772819,0.5,0.5,High Hormuz,3
2024-03-19,STNG,0.05923865127055218,-0.024397025472186917,-0.03239702547218692,0,0.5,0.5,0.5,0.5,0.5,0.5,0.10273004253107643,0.0007537980728772819,0.5,0.5,High Hormuz,3
2024-03-19,SBLK,0.058083839038623915,-0.021186440335508983,-0.029186440335508983,0,0.5,0.5,0.5,0.5,0.5,0.5,0.10273004253107643,0.0007537980728772819,0.5,0.5,High Hormuz,3
