variant,horizon_days,n_periods,annualized_alpha,annualized_return,cagr,information_ratio,sharpe,hit_rate,avg_alpha,max_drawdown,commodity_type,n_tickers
full_cross_market,126,519,0.6450964466904561,0.8361340565472799,,1.1305093713394612,1.374216369493637,0.8227360308285164,0.32254822334522804,-6.31665320142379,base_metals,38
convexity,252,504,0.5733067906579624,0.7512595615788694,,1.5627516260758034,1.9673756343594182,0.9623015873015873,0.5733067906579624,-1.485692312923561,precious_metals,31
market_event,126,519,0.5731096346683204,0.7641472445251445,0.7451430526583749,1.147269718158536,1.4129295774620156,0.884393063583815,0.2865548173341602,-8.444650578833944,base_metals,38
convexity,126,519,0.5696000149703018,0.7606376248271257,,1.1175299200526518,1.37204879694342,0.8709055876685935,0.2848000074851509,-9.524936219515169,base_metals,38
market_only,126,519,0.562273153163638,0.753310763020462,0.7291703825633702,1.122288032808462,1.388373188964578,0.8747591522157996,0.281136576581819,-9.014496956964678,base_metals,38
market_event,252,504,0.5575248727435334,0.7354776436644402,0.6982032229898298,1.590825983600469,2.002773555923737,0.9523809523809523,0.5575248727435334,0.0,precious_metals,31
market_only,252,504,0.5498582940866233,0.7278110650075303,0.6894795450942588,1.5536786258722992,1.9632079965701301,0.9424603174603174,0.5498582940866233,-0.11126759168945455,precious_metals,31
full_cross_market,252,504,0.5474971729106861,0.7254499438315931,,1.0658182041253959,1.378797349817899,0.876984126984127,0.5474971729106861,-4.910846630573815,precious_metals,31
market_only,63,519,0.5454199161471432,0.7204666861149124,0.8300853450737158,1.4760459346276367,1.7655461242259425,0.8169556840077071,0.1363549790367858,-1.5396248785408844,base_metals,38
full_cross_market,63,519,0.5323817067772773,0.7074284767450464,0.7418917473347764,1.1234689805519062,1.4052024090812396,0.7822736030828517,0.1330954266943193,-3.0623082540025166,base_metals,38
market_event,63,519,0.5220639024886851,0.6971106724564543,0.7759208223518173,1.3288658735131957,1.6369696674642462,0.8034682080924855,0.13051597562217127,-2.0351856594150277,base_metals,38
convexity,63,519,0.5157436004079561,0.6907903703757252,0.7630516843142663,1.278416174643727,1.5597568950764902,0.7938342967244701,0.12893590010198902,-1.6555572625838693,base_metals,38
market_only,10,518,0.48869903203358295,0.6511276313768556,0.806316002999949,1.4423630134271528,1.9081526415584809,0.5868725868725869,0.019392818731491387,-0.8183298726021033,base_metals,38
market_only,21,519,0.48282785539213413,0.649559462742045,0.7625945350955277,1.2625288892101847,1.648306704565153,0.6339113680154143,0.040235654616011175,-1.9008214912297863,base_metals,38
market_only,42,520,0.4717284406175422,0.643590251355617,0.7243621401293636,1.1627033428405997,1.544184350611635,0.7384615384615385,0.07862140676959037,-2.2412950199170254,base_metals,38
full_cross_market,252,519,0.4712298640804616,0.6440394913331343,0.5796069086029445,1.0002902301812695,1.32022926441422,0.9190751445086706,0.4712298640804616,-0.6937050557465625,base_metals,38
convexity,21,519,0.45701991724294655,0.6237515245928577,0.7045885142620203,1.1059985829867287,1.4767381145653673,0.630057803468208,0.03808499310357888,-2.330192066338846,base_metals,38
convexity,10,518,0.45652965964112396,0.6189582589843966,0.7317838374829286,1.2104930717464806,1.660385322309291,0.5965250965250966,0.018116256334965237,-1.4222165380939575,base_metals,38
market_event,42,520,0.4513643525298144,0.6222216812140231,0.66970549072297,1.0428298013153172,1.4154638707456992,0.7269230769230769,0.0752273920883024,-1.9485911611736455,base_metals,38
full_cross_market,42,520,0.4499797434587072,0.6219379190694406,0.6168764899319708,0.8824303699829404,1.1999723541322562,0.7,0.07499662390978454,-3.51905007828735,base_metals,38
convexity,42,520,0.4449075652852867,0.6160507317760706,0.6521751934369651,0.9999429889529765,1.3536208481223653,0.7365384615384616,0.07415126088088111,-2.1677612682558873,base_metals,38
market_event,21,519,0.44391340962022063,0.6106450169701316,0.6844500445907953,1.1005903008190288,1.4838830290064429,0.6127167630057804,0.036992784135018386,-1.8731497097365875,base_metals,38
convexity,252,519,0.43345013680759037,0.606259764060263,0.5537840606689028,1.0145500895935955,1.3765509353965677,0.9499036608863198,0.43345013680759037,-0.7892253686104596,base_metals,38
full_cross_market,126,504,0.425903885522202,0.6226271385295267,0.6316602879836437,1.0852128455998276,1.5540227052858948,0.8075396825396826,0.212951942761101,-2.1121667288016397,precious_metals,32
convexity,126,504,0.42224371301615016,0.6189669660234748,0.6667981845362008,1.3821369390989537,1.989654975975275,0.8412698412698413,0.21112185650807508,-0.5968896275232964,precious_metals,32
market_event,10,518,0.4138142610644678,0.5762428604077403,0.6775222419144145,1.217304942183927,1.6938163295413746,0.6003861003861004,0.01642120083589158,-1.005412258703004,base_metals,38
full_cross_market,21,519,0.40459393687405976,0.5713255442239707,0.6040895574754506,0.9194093868175364,1.2825064202887704,0.6107899807321773,0.033716161406171646,-2.2858798741899946,base_metals,38
market_event,252,519,0.40386008670884693,0.5766697139615198,0.5287240373039226,0.9497859290955548,1.3224934443224348,0.9653179190751445,0.40386008670884693,-0.19089562562993478,base_metals,38
market_only,252,519,0.4027475863294923,0.575557213582165,0.527580304396013,0.9512458511696364,1.3243494725029712,0.9614643545279383,0.4027475863294923,-0.19089562562993478,base_metals,38
market_event,126,504,0.38285243598888435,0.5795756889962089,0.6222970773639529,1.3468735168563548,2.0184068824970147,0.8392857142857143,0.19142621799444218,-1.0323647901857527,precious_metals,32
market_only,126,504,0.37789587606992386,0.5746191290772485,0.6151945307129087,1.3162824748941524,1.991106855325563,0.8412698412698413,0.18894793803496193,-0.9173991292035311,precious_metals,32
full_cross_market,10,518,0.36753148477731196,0.5299600841205845,0.5732962583088983,0.9096627776185647,1.3457189595239216,0.6061776061776062,0.014584582729258411,-1.5082150336565585,base_metals,38
full_cross_market,63,504,0.33000114166750666,0.5102576369319356,0.5310879744867978,0.9189980161864744,1.4811612344392255,0.7281746031746031,0.08250028541687666,-3.228366381564989,precious_metals,32
market_event,63,504,0.2872737129976651,0.46753020826209407,0.488062026899279,0.865980492803171,1.5444704252164683,0.6884920634920635,0.07181842824941627,-2.5773158921483557,precious_metals,32
convexity,63,504,0.2833693714131132,0.4636258666775422,0.47500008293865914,0.8406045581993562,1.4504234097759432,0.7182539682539683,0.0708423428532783,-5.1229080193663705,precious_metals,32
