variant,horizon_days,n_periods,annualized_alpha,annualized_return,cagr,information_ratio,sharpe,hit_rate,avg_alpha,max_drawdown,modeled_tickers,prediction_count
convexity,252,541,0.4606880196438789,0.6359953126034573,,1.3118468049777066,1.7804392264203517,0.9519408502772643,0.4606880196438789,-1.1407899451106118,243,121687
full_cross_market,126,539,0.44086347498411627,0.6351562129214284,0.6617171233435206,1.259517735042745,1.703022831288467,0.8385899814471243,0.22043173749205813,-1.3506044694878838,244,122177
market_event,252,541,0.43928884005500557,0.6151143797748563,0.5826923680727296,1.2774189354124326,1.745147584797731,0.9741219963031423,0.43928884005500557,-0.12183773725522795,243,121687
market_only,252,541,0.43469528157216075,0.6105378030239259,0.5782962452633462,1.2703166927251557,1.742639936226478,0.9704251386321626,0.43469528157216075,-0.12183773725522784,243,121687
full_cross_market,252,541,0.42987287198772184,0.6043208936572236,0.5326225556561492,0.99934119917136,1.3829235407171252,0.9001848428835489,0.42987287198772184,-3.282953991847421,243,121687
convexity,126,539,0.427781234671426,0.6209225442700247,0.6662709979418784,1.4245126172464224,1.966168064455267,0.9165120593692022,0.213890617335713,-3.8185762178723905,244,122177
market_event,126,539,0.41277343940873334,0.6052333856976606,0.6478537424945272,1.3921094202568514,1.9687253358762842,0.9165120593692022,0.20638671970436667,-4.65531835278829,244,122177
market_only,126,539,0.4051722886555064,0.5983062592533893,0.6397866196768374,1.385861465442964,1.968097154760473,0.9183673469387755,0.2025861443277532,-4.70233717831961,244,122177
convexity,63,539,0.40219487481677246,0.5848671686932343,0.682476174030908,1.5910360658358935,2.386653481385169,0.8701298701298701,0.10054871870419312,-1.323501857292399,244,122335
market_only,63,539,0.3976667894927045,0.580347484269582,0.6838442172059809,1.645159635293201,2.57389649268473,0.849721706864564,0.09941669737317613,-1.7777716935803065,244,122335
market_only,42,539,0.39446081095953733,0.5682251313378056,0.6753556192885981,1.4565090978479696,2.198587676813759,0.7625231910946196,0.06574346849325623,-0.4984084003178282,244,122377
market_event,63,539,0.3908559797821774,0.5699793843944566,0.6596395101155426,1.4800541853001572,2.3046887286738267,0.8534322820037106,0.09771399494554435,-1.7682822294893232,244,122335
full_cross_market,63,539,0.3847200168338862,0.564444225304284,0.6122416673480819,1.1205627262618847,1.6918714574893865,0.7680890538033395,0.09618000420847155,-2.283987029874808,244,122335
market_event,42,539,0.3695403071523708,0.5413274235019319,0.6229624321611746,1.2723982905552171,1.96291044396619,0.7606679035250464,0.0615900511920618,-0.8540432655832646,244,122377
market_only,21,538,0.3572920156405678,0.5321929763074946,0.6433735920208861,1.4231492491531366,2.299985946657825,0.671003717472119,0.02977433463671398,-1.163418214531326,244,122419
convexity,42,539,0.3571335590999232,0.529508822234594,0.6027156665214279,1.2280085177742768,1.892045655238893,0.764378478664193,0.05952225984998721,-1.6078556044511032,244,122377
market_only,10,537,0.34715885171078203,0.5180179993007772,0.6316371825128644,1.3893706474799832,2.3335531319640257,0.6108007448789572,0.013776144909158017,-0.7976356891246379,244,122441
full_cross_market,21,538,0.332286692060907,0.5052438466228865,0.56855555666674,1.074742857020782,1.663127591966592,0.7007434944237918,0.02769055767174225,-1.9599847568083426,244,122419
convexity,21,538,0.33135084190452146,0.506713593937788,0.5893147611053049,1.1949174000812222,1.921657171655949,0.6728624535315985,0.027612570158710124,-1.3059464507861236,244,122419
market_event,21,538,0.3140129105743976,0.48758340943171186,0.565672993353088,1.164208494834243,1.941139771960663,0.6728624535315985,0.026167742547866468,-0.8801081386953982,244,122419
