date,ticker,pred_horizon_return,gross_return,net_return,success
2024-02-28,STNG,0.07845812170195438,0.055987989414786776,0.047987989414786776,1
2024-02-28,SM,0.07405387624575044,0.13725940232637313,0.12925940232637312,1
2024-02-28,AR,0.07061978005314772,0.12804400416769912,0.12004400416769911,1
2024-02-29,SM,0.0751943580659842,0.13890788103199614,0.13090788103199613,1
2024-02-29,STNG,0.07452299320636276,0.0658424844209986,0.057842484420998604,1
2024-02-29,AR,0.07004310724865018,0.1284046357624744,0.1204046357624744,1
2024-03-01,SM,0.07937675381435111,0.13662925463044218,0.12862925463044217,1
2024-03-01,STNG,0.0750263898905109,0.08420270721851053,0.07620270721851052,1
2024-03-01,AR,0.07224381436151059,0.13387342990512252,0.1258734299051225,1
2024-03-04,SM,0.08393717210377294,0.17662039197603208,0.16862039197603207,1
2024-03-04,AR,0.07401276163946147,0.1035901451560799,0.09559014515607989,1
2024-03-04,STNG,0.07354398786214142,0.12210203861676594,0.11410203861676593,1
2024-03-05,AR,0.086925259268959,0.09128011186758678,0.08328011186758677,1
2024-03-05,SM,0.0744880038205207,0.1921137384987357,0.1841137384987357,1
2024-03-05,FRO,0.0615400243455544,0.046680947956338814,0.038680947956338814,1
2024-03-06,AR,0.0908199920431631,0.07778184517908948,0.06978184517908947,1
2024-03-06,SM,0.07833653157095022,0.17128067877742215,0.16328067877742214,1
2024-03-06,FRO,0.07430527219629529,0.041184084676789245,0.033184084676789245,1
2024-03-07,AR,0.0881828564591683,0.10611787846933285,0.09811787846933284,1
2024-03-07,SM,0.08348345563141124,0.18775327546993248,0.17975327546993247,1
2024-03-07,STNG,0.0784130144997845,0.03638984322117533,0.028389843221175333,1
2024-03-08,SM,0.08235605938402363,0.15398266416021222,0.14598266416021222,1
2024-03-08,STNG,0.08207221851636182,0.036592506018254145,0.028592506018254145,1
2024-03-08,AR,0.08149946841052125,0.1245778514951934,0.1165778514951934,1
2024-03-11,SM,0.08578155651743385,0.14065257897415662,0.1326525789741566,1
2024-03-11,AR,0.08258433788884462,0.14855622692811088,0.14055622692811087,1
2024-03-11,STNG,0.07582706540923936,0.010253473151558667,0.0022534731515586673,1
2024-03-12,SM,0.08678845007154457,0.1463254253737778,0.1383254253737778,1
2024-03-12,AR,0.07765259885821243,0.1646294658403915,0.1566294658403915,1
2024-03-12,STNG,0.07472645269637523,0.01622722111063002,0.008227221110630019,1
2024-03-13,SM,0.086378241642169,0.10422898547465631,0.0962289854746563,1
2024-03-13,AR,0.07506041674473965,0.1580967353670828,0.1500967353670828,1
2024-03-13,STNG,0.07372164416992627,0.004345963138034925,-0.003654036861965075,0
2024-03-14,SM,0.09404983758186276,0.08722674042293121,0.07922674042293121,1
2024-03-14,STNG,0.08390186621388951,-0.01293463540249129,-0.02093463540249129,0
2024-03-14,AR,0.07092761826082605,0.13789154195074094,0.12989154195074093,1
2024-03-15,SM,0.09256073746001386,0.07758061941420857,0.06958061941420857,1
2024-03-15,STNG,0.0776484299713612,-0.01107064053770157,-0.01907064053770157,0
2024-03-15,FRO,0.07473153495927974,0.02156449205530775,0.013564492055307749,1
2024-03-18,SM,0.07866485809615242,0.07802785145953695,0.07002785145953694,1
2024-03-18,STNG,0.06217661267968147,-0.011012000823132584,-0.019012000823132584,0
2024-03-18,FRO,0.060870614044417,0.027859849410440285,0.019859849410440285,1
2024-03-19,SM,0.07850564132404442,0.031603226764517656,0.023603226764517656,1
2024-03-19,SBLK,0.07087163892082193,-0.021186440335508983,-0.029186440335508983,0
2024-03-19,FRO,0.06832425519032737,0.03486876406597794,0.02686876406597794,1
2024-03-20,SM,0.09028193913626796,-0.003732897150954262,-0.011732897150954262,0
2024-03-20,STNG,0.06903721969246934,-0.05206316910380515,-0.06006316910380515,0
2024-03-20,AR,0.06648604395307595,0.08130386035492632,0.07330386035492631,1
2024-03-21,SM,0.07619950784350668,-0.015154651868068636,-0.023154651868068636,0
2024-03-21,STNG,0.06635734835509076,-0.04818623032728586,-0.05618623032728586,0
2024-03-21,SBLK,0.06499080408288102,-0.059231980502657655,-0.06723198050265766,0
2024-03-22,SM,0.07947692669508591,0.003080035088948163,-0.004919964911051837,0
2024-03-22,SBLK,0.07194274940144005,-0.05026346847520735,-0.05826346847520735,0
2024-03-22,STNG,0.06880686022830387,-0.03668970568426744,-0.04468970568426744,0
2024-03-25,SM,0.07225233794122296,0.003222554733029126,-0.004777445266970874,0
2024-03-25,STNG,0.0653768952955349,-0.018616336548921586,-0.026616336548921586,0
2024-03-25,SBLK,0.06449762835925119,-0.01804752427625389,-0.02604752427625389,0
2024-03-26,SM,0.08459257345942062,0.02732124092069932,0.01932124092069932,1
2024-03-26,AR,0.06677239538754931,0.15080530326703867,0.14280530326703866,1
2024-03-26,MTDR,0.0590640080399912,0.002764556957279618,-0.005235443042720382,0
2024-03-27,SM,0.07794127204199952,0.02833841817062055,0.02033841817062055,1
2024-03-27,AR,0.0652808272189137,0.1626044633685777,0.1546044633685777,1
2024-03-27,SBLK,0.04811883508485659,0.014540938342636922,0.006540938342636922,1
2024-03-28,AR,0.07980075528506464,0.16551721507105288,0.15751721507105287,1
2024-03-28,SM,0.07914897248932806,0.019859613014446387,0.011859613014446387,1
2024-03-28,SBLK,0.05185146394430323,0.035190541085303284,0.027190541085303284,1
2024-04-01,SM,0.08565897953979197,0.005140338317931148,-0.0028596616820688522,0
2024-04-01,AR,0.0842308013255555,0.16706362536167552,0.1590636253616755,1
2024-04-01,FRO,0.0530083104240163,-0.009611347233731138,-0.017611347233731138,0
2024-04-02,SM,0.08697830562927167,-0.0460358069701714,-0.0540358069701714,0
2024-04-02,AR,0.08645222334555724,0.15249061530833763,0.14449061530833762,1
2024-04-02,FRO,0.058263984177030076,-0.0055038553554711545,-0.013503855355471155,0
2024-04-03,SM,0.08711004017662151,-0.0938461743868313,-0.1018461743868313,0
2024-04-03,AR,0.08658043193167014,0.11050663097116553,0.10250663097116552,1
2024-04-03,FRO,0.05284468813499185,-0.04296240267859175,-0.05096240267859175,0
2024-04-04,SM,0.0930860233684195,-0.08262873100329893,-0.09062873100329893,0
2024-04-04,AR,0.08464358754115636,0.12741721540263118,0.11941721540263117,1
2024-04-04,FRO,0.062461679014223226,0.01236090776275911,0.00436090776275911,1
2024-04-05,SM,0.09383658989074735,-0.049848319505055416,-0.057848319505055416,0
2024-04-05,AR,0.07923201578133615,0.1314441226964973,0.1234441226964973,1
2024-04-05,FRO,0.05987689325254106,0.03428092358732382,0.02628092358732382,1
2024-04-08,SM,0.09757902115033128,-0.024802867572791154,-0.032802867572791154,0
